Date,Close,Avg30,Avg200
2003-01-02,80.570,81.616,88.342
2003-01-03,81.650,81.725,88.391
2003-01-06,83.590,81.791,88.453
2003-01-07,86.000,81.828,88.551
2003-01-08,84.190,81.820,88.625
2003-01-09,87.000,81.847,88.712
2003-01-10,87.680,81.934,88.816
2003-01-13,87.510,81.928,88.911
2003-01-14,88.580,81.983,88.994
2003-01-15,87.590,81.993,89.071
2003-01-16,86.050,82.021,89.148
2003-01-17,81.300,81.941,89.210
2003-01-21,80.540,81.857,89.257
2003-01-22,79.700,81.770,89.310
2003-01-23,81.050,81.818,89.368
2003-01-24,78.990,81.758,89.419
2003-01-27,78.420,81.657,89.463
2003-01-28,80.110,81.655,89.507
2003-01-29,80.320,81.666,89.541
2003-01-30,78.300,81.555,89.580
2003-01-31,78.200,81.485,89.628
2003-02-03,78.180,81.453,89.681
2003-02-04,77.090,81.401,89.706
2003-02-05,77.260,81.317,89.733
2003-02-06,77.510,81.225,89.770
2003-02-07,77.100,81.136,89.813
2003-02-10,77.910,81.117,89.854
2003-02-11,77.390,81.118,89.897
2003-02-12,76.500,81.126,89.922
2003-02-13,75.860,81.071,89.934
2003-02-14,77.450,80.967,89.942
2003-02-18,79.330,80.890,89.953
2003-02-19,79.510,80.754,89.970
2003-02-20,79.150,80.526,89.987
2003-02-21,79.950,80.384,90.014
2003-02-24,78.560,80.103,90.029
2003-02-25,79.070,79.816,90.040
2003-02-26,77.400,79.479,90.036
2003-02-27,77.280,79.102,90.024
2003-02-28,77.950,78.781,90.011
2003-03-03,77.330,78.490,90.001
2003-03-04,76.700,78.337,89.994
2003-03-05,77.730,78.243,89.981
2003-03-06,77.070,78.156,89.955
2003-03-07,77.900,78.051,89.936
2003-03-10,75.700,77.941,89.904
2003-03-11,75.350,77.839,89.865
2003-03-12,75.180,77.674,89.820
2003-03-13,78.450,77.612,89.792
2003-03-14,79.000,77.635,89.770
2003-03-17,82.460,77.777,89.760
2003-03-18,82.470,77.920,89.744
2003-03-19,82.000,78.084,89.726
2003-03-20,82.200,78.249,89.715
2003-03-21,84.900,78.495,89.712
2003-03-24,82.250,78.667,89.712
2003-03-25,83.450,78.851,89.731
2003-03-26,81.550,78.990,89.739
2003-03-27,81.450,79.155,89.734
2003-03-28,80.850,79.321,89.756
2003-03-31,78.430,79.354,89.768
2003-04-01,78.730,79.334,89.753
2003-04-02,81.460,79.399,89.741
2003-04-03,81.910,79.491,89.729
2003-04-04,80.790,79.519,89.714
2003-04-07,80.470,79.583,89.697
2003-04-08,80.070,79.616,89.674
2003-04-09,78.710,79.660,89.634
2003-04-10,79.010,79.717,89.596
2003-04-11,78.750,79.744,89.553
2003-04-14,80.070,79.835,89.514
2003-04-15,82.790,80.038,89.483
2003-04-16,82.880,80.210,89.453
2003-04-17,84.260,80.450,89.450
2003-04-21,83.360,80.632,89.436
2003-04-22,85.630,80.963,89.437
2003-04-23,85.750,81.309,89.438
2003-04-24,85.200,81.643,89.443
2003-04-25,83.880,81.824,89.417
2003-04-28,85.120,82.028,89.404
2003-04-29,85.660,82.135,89.395
2003-04-30,84.900,82.216,89.334
2003-05-01,85.890,82.346,89.259
2003-05-02,87.570,82.525,89.197
2003-05-05,86.520,82.579,89.125
2003-05-06,87.510,82.754,89.048
2003-05-07,86.680,82.862,88.961
2003-05-08,86.050,83.012,88.875
2003-05-09,87.550,83.215,88.798
2003-05-12,89.000,83.487,88.725
2003-05-13,89.980,83.872,88.647
2003-05-14,88.700,84.204,88.557
2003-05-15,89.900,84.485,88.479
2003-05-16,88.990,84.721,88.386
2003-05-19,86.450,84.910,88.287
2003-05-20,85.770,85.087,88.182
2003-05-21,86.180,85.290,88.080
2003-05-22,86.080,85.536,87.974
2003-05-23,85.260,85.744,87.858
2003-05-27,87.690,86.042,87.770
2003-05-28,87.570,86.292,87.683
2003-05-29,87.360,86.445,87.601
2003-05-30,88.040,86.617,87.509
2003-06-02,87.330,86.719,87.418
2003-06-03,83.820,86.734,87.307
2003-06-04,84.250,86.688,87.214
2003-06-05,81.900,86.560,87.132
2003-06-06,80.050,86.388,87.044
2003-06-09,82.000,86.326,86.968
2003-06-10,81.710,86.212,86.885
2003-06-11,83.970,86.156,86.812
2003-06-12,83.950,86.124,86.750
2003-06-13,82.750,86.019,86.667
2003-06-16,84.500,85.917,86.583
2003-06-17,84.300,85.843,86.491
2003-06-18,84.700,85.749,86.375
2003-06-19,84.550,85.678,86.257
2003-06-20,84.920,85.641,86.149
2003-06-23,83.180,85.495,86.028
2003-06-24,83.630,85.316,85.921
2003-06-25,82.490,85.066,85.814
2003-06-26,84.350,84.921,85.702
2003-06-27,83.420,84.705,85.588
2003-06-30,82.500,84.489,85.467
2003-07-01,83.590,84.394,85.344
2003-07-02,84.740,84.359,85.229
2003-07-03,83.950,84.285,85.121
2003-07-07,86.090,84.285,85.036
2003-07-08,86.250,84.318,84.927
2003-07-09,85.470,84.244,84.808
2003-07-10,84.030,84.126,84.684
2003-07-11,84.890,84.044,84.569
2003-07-14,85.420,83.957,84.444
2003-07-15,86.440,83.927,84.305
2003-07-16,86.740,84.024,84.139
2003-07-17,83.330,83.994,83.968
2003-07-18,83.720,84.054,83.793
2003-07-21,82.500,84.136,83.615
2003-07-22,81.850,84.131,83.423
2003-07-23,82.300,84.151,83.224
2003-07-24,81.510,84.069,83.009
2003-07-25,83.550,84.055,82.803
2003-07-28,82.540,84.048,82.595
