Date,Close,Avg30,Avg200
2003-01-02,25.440,24.317,30.659
2003-01-03,25.940,24.450,30.665
2003-01-06,27.980,24.592,30.679
2003-01-07,27.840,24.690,30.707
2003-01-08,26.770,24.749,30.729
2003-01-09,27.300,24.828,30.749
2003-01-10,27.090,24.924,30.784
2003-01-13,27.280,24.994,30.798
2003-01-14,27.590,25.075,30.805
2003-01-15,27.080,25.137,30.805
2003-01-16,26.780,25.209,30.798
2003-01-17,26.190,25.259,30.786
2003-01-21,25.420,25.319,30.763
2003-01-22,24.700,25.328,30.736
2003-01-23,25.130,25.390,30.708
2003-01-24,23.810,25.379,30.677
2003-01-27,23.290,25.352,30.637
2003-01-28,23.510,25.331,30.593
2003-01-29,23.500,25.327,30.548
2003-01-30,23.040,25.268,30.508
2003-01-31,23.340,25.212,30.469
2003-02-03,23.580,25.198,30.430
2003-02-04,23.050,25.189,30.375
2003-02-05,22.940,25.125,30.326
2003-02-06,22.310,25.045,30.280
2003-02-07,21.980,24.971,30.226
2003-02-10,22.100,24.892,30.170
2003-02-11,22.000,24.832,30.115
2003-02-12,21.510,24.750,30.056
2003-02-13,21.290,24.659,29.989
2003-02-14,21.850,24.540,29.924
2003-02-18,22.500,24.425,29.859
2003-02-19,22.500,24.242,29.806
2003-02-20,22.690,24.071,29.756
2003-02-21,22.880,23.941,29.705
2003-02-24,22.300,23.774,29.652
2003-02-25,22.550,23.623,29.595
2003-02-26,22.340,23.458,29.538
2003-02-27,22.660,23.294,29.483
2003-02-28,22.680,23.147,29.423
2003-03-03,22.850,23.016,29.364
2003-03-04,22.400,22.890,29.303
2003-03-05,22.810,22.803,29.237
2003-03-06,22.000,22.713,29.167
2003-03-07,22.290,22.618,29.094
2003-03-10,21.440,22.539,29.015
2003-03-11,20.750,22.455,28.930
2003-03-12,20.750,22.363,28.841
2003-03-13,21.720,22.303,28.762
2003-03-14,21.260,22.244,28.681
2003-03-17,22.560,22.218,28.606
2003-03-18,22.810,22.192,28.530
2003-03-19,23.330,22.202,28.458
2003-03-20,23.530,22.221,28.390
2003-03-21,24.650,22.299,28.326
2003-03-24,23.630,22.354,28.262
